Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Region,State,Product_ID,Product_Name,Category,Sub_Category,Sales,Quantity,Discount,Profit
ORD-202111-09481,2021-11-06,2021-11-11,Standard Class,CUST-1168,Varun Patel,Consumer,West,Gujarat,PROD-0129,Anker PowerBank 20K,Technology,Accessories,7399.07,2,0.1,1798.32
ORD-202111-06905,2021-11-05,2021-11-11,Standard Class,CUST-1279,Isha Sinha,Corporate,West,Maharashtra,PROD-0154,Table Lamp Designer,Furniture,Furnishings,768.79,1,0.0,63.23
ORD-202403-05823,2024-03-14,2024-03-21,Standard Class,CUST-1301,Aadhya Banerjee,Consumer,East,Assam,PROD-0175,Desk Organizer Wood,Office Supplies,Binders & Organizers,1557.48,1,0.15,597.88
ORD-202201-06349,2022-01-17,2022-01-21,Standard Class,CUST-1252,Gaurav Banerjee,Consumer,North,Uttar Pradesh,PROD-0129,Anker PowerBank 20K,Technology,Accessories,4682.76,1,0.0,1483.83
ORD-202411-03024,2024-11-28,2024-11-29,First Class,CUST-1488,Akash Patel,Consumer,West,Madhya Pradesh,PROD-0161,Envelope Pack 100,Office Supplies,Paper,613.91,2,0.1,228.07
ORD-202210-00081,2022-10-12,2022-10-15,Standard Class,CUST-1278,Aditya Kumar,Corporate,East,West Bengal,PROD-0102,Samsung Galaxy S24,Technology,Phones,214576.39,3,0.05,25160.11
ORD-202102-07906,2021-02-05,2021-02-11,Standard Class,CUST-1097,Neha Yadav,Corporate,South,Kerala,PROD-0107,Oppo Find X7,Technology,Phones,30093.42,1,0.0,8217.51
ORD-202302-04848,2023-02-03,2023-02-06,Standard Class,CUST-1424,Arjun Menon,Consumer,North,Rajasthan,PROD-0160,Graph Paper Pad,Office Supplies,Paper,1387.97,1,0.05,204.77
ORD-202407-07397,2024-07-08,2024-07-12,Standard Class,CUST-1056,Mohit Verma,Small Business,South,Karnataka,PROD-0107,Oppo Find X7,Technology,Phones,231156.26,3,0.0,43350.63
ORD-202409-06609,2024-09-23,2024-09-30,Standard Class,CUST-1087,Priya Banerjee,Corporate,South,Kerala,PROD-0118,iPad Pro,Technology,Tablets,73693.63,1,0.1,22746.91
ORD-202212-06381,2022-12-07,2022-12-11,Standard Class,CUST-1312,Myra Kumar,Consumer,East,Assam,PROD-0151,Carpet Persian Style,Furniture,Furnishings,653.88,1,0.05,93.78
ORD-202204-05029,2022-04-16,2022-04-19,Standard Class,CUST-1121,Anjali Iyer,Home Office,North,Delhi,PROD-0146,Wardrobe 3-Door,Furniture,Storage,11648.32,1,0.05,1226.64
ORD-202204-01157,2022-04-10,2022-04-16,Standard Class,CUST-1492,Tanvi Gupta,Corporate,West,Gujarat,PROD-0114,Acer Predator Helios,Technology,Laptops,258270.19,2,0.0,69287.91
ORD-202309-01671,2023-09-01,2023-09-03,First Class,CUST-1483,Krishna Gupta,Consumer,South,Kerala,PROD-0127,Logitech MX Master,Technology,Accessories,23274.67,2,0.1,6018.21
ORD-202412-03380,2024-12-15,2024-12-20,Standard Class,CUST-1269,Ritika Pandey,Consumer,East,West Bengal,PROD-0139,L-Shaped Computer Desk,Furniture,Tables,46848.42,3,0.2,1195.52
ORD-202106-05121,2021-06-14,2021-06-14,Same Day,CUST-1375,Akash Pandey,Consumer,South,Telangana,PROD-0102,Samsung Galaxy S24,Technology,Phones,89113.17,2,0.0,26200.3
ORD-202210-03439,2022-10-22,2022-10-22,Same Day,CUST-1290,Ritika Verma,Corporate,East,Odisha,PROD-0104,Google Pixel 8,Technology,Phones,74534.93,2,0.05,21853.69
ORD-202211-05649,2022-11-04,2022-11-07,Second Class,CUST-1202,Aarav Pandey,Consumer,South,Karnataka,PROD-0179,Cable Management Kit,Office Supplies,Binders & Organizers,4368.98,1,0.1,1158.67
ORD-202206-01442,2022-06-16,2022-06-19,Standard Class,CUST-1408,Nisha Mishra,Consumer,South,Karnataka,PROD-0154,Table Lamp Designer,Furniture,Furnishings,9586.11,2,0.1,-314.98
ORD-202308-06829,2023-08-12,2023-08-18,Standard Class,CUST-1418,Pooja Agarwal,Consumer,West,Gujarat,PROD-0143,Conference Table,Furniture,Tables,15223.1,2,0.1,2072.51
ORD-202308-09575,2023-08-14,,Standard Class,CUST-1022,Kiran Banerjee,Consumer,East,Assam,PROD-0144,Bookshelf 5-Tier,Furniture,Storage,42849.71,2,0.05,706.18
ORD-202308-06974,2023-08-27,2023-08-30,First Class,CUST-1159,Arjun Mukherjee,Consumer,West,Goa,PROD-0167,Calligraphy Set,Office Supplies,Writing,4584.92,4,0.15,872.21
ORD-202411-06665,2024-11-03,2024-11-07,Standard Class,CUST-1343,Diya Iyer,Consumer,North,Haryana,PROD-0110,Dell XPS 15,Technology,Laptops,102920.73,2,0.0,26778.41
ORD-202311-07132,2023-11-16,2023-11-20,Second Class,CUST-1107,Aditya Menon,Consumer,East,West Bengal,PROD-0121,OnePlus Pad,Technology,Tablets,212140.09,3,0.1,36218.32
ORD-202412-05580,2024-12-13,2024-12-18,Standard Class,CUST-1205,Lakshmi Joshi,Corporate,North,Delhi,PROD-0125,Sony WH-1000XM5,Technology,Accessories,7287.61,1,0.15,2110.97
ORD-202111-04181,2021-11-04,2021-11-09,Standard Class,CUST-1114,Isha Verma,Home Office,West,Gujarat,PROD-0146,Wardrobe 3-Door,Furniture,Storage,21790.95,2,0.2,478.5
ORD-202407-06596,2024-07-02,2024-07-02,Same Day,CUST-1298,Sanjay Chatterjee,Consumer,East,Jharkhand,PROD-0165,Pencil Box Premium,Office Supplies,Writing,2059.11,4,0.15,723.24
ORD-202302-03308,2023-02-22,2023-02-23,First Class,CUST-1130,Rahul Banerjee,Corporate,East,Assam,PROD-0144,Bookshelf 5-Tier,Furniture,Storage,7348.68,1,0.0,1051.35
ORD-202103-09182,2021-03-17,2021-03-22,Standard Class,CUST-1091,Vikram Saxena,Consumer,North,Haryana,PROD-0124,AirPods Pro,Technology,Accessories,2868.42,1,0.0,529.12
ORD-202212-09314,2022-12-17,2022-12-23,Standard Class,CUST-1463,Aditya Chatterjee,Corporate,East,Bihar,PROD-0109,MacBook Air M2,Technology,Laptops,134193.15,1,0.0,34378.98
ORD-202412-00305,2024-12-19,,First Class,CUST-1436,Krishna Sinha,Corporate,East,West Bengal,PROD-0125,Sony WH-1000XM5,Technology,Accessories,28990.33,2,0.0,3133.73
ORD-202111-00961,2021-11-15,2021-11-22,Standard Class,CUST-1045,Vihaan Nair,Consumer,North,Delhi,PROD-0162,Parker Pen Set,Office Supplies,Writing,5932.35,3,0.1,1218.96
ORD-202404-07062,2024-04-27,2024-04-27,Same Day,CUST-1468,Rahul Chopra,Home Office,East,Assam,PROD-0150,Curtain Set Premium,Furniture,Furnishings,17338.39,3,0.1,2370.52
ORD-202312-00625,2023-12-16,2023-12-20,Standard Class,CUST-1099,Lakshmi Iyer,Consumer,North,Delhi,PROD-0129,Anker PowerBank 20K,Technology,Accessories,20323.71,2,0.2,3136.21
ORD-202412-06805,2024-12-25,2024-12-28,Second Class,CUST-1345,Sanjay Bhatia,Consumer,East,Assam,PROD-0111,HP Spectre x360,Technology,Laptops,110907.77,2,0.05,37070.09
ORD-202106-02408,2021-06-19,2021-06-25,Standard Class,CUST-1145,Nikhil Kapoor,Consumer,North,Delhi,PROD-0177,Document Holder,Office Supplies,Binders & Organizers,2841.33,1,0.1,589.25
ORD-202403-03922,2024-03-17,2024-03-24,Standard Class,CUST-1394,Manish Dubey,Home Office,West,Maharashtra,PROD-0174,Ring Binder Set,Office Supplies,Binders & Organizers,24982.54,5,0.0,2309.92
ORD-202309-09724,2023-09-12,2023-09-12,Same Day,CUST-1159,Arjun Mukherjee,Consumer,West,Goa,PROD-0179,Cable Management Kit,Office Supplies,Binders & Organizers,7465.24,2,0.15,2657.39
ORD-202411-02019,2024-11-10,2024-11-17,Standard Class,CUST-1390,Divya Mukherjee,Home Office,West,Madhya Pradesh,PROD-0104,Google Pixel 8,Technology,Phones,25335.65,1,0.0,5024.35
ORD-202403-02234,2024-03-14,2024-03-18,Standard Class,CUST-1108,Vikram Reddy,Home Office,South,Karnataka,PROD-0158,Spiral Notebook Set,Office Supplies,Paper,2591.37,2,0.2,67.25
ORD-202302-05900,2023-02-24,2023-03-02,Standard Class,CUST-1384,Aarav Reddy,Home Office,East,Bihar,PROD-0141,Coffee Table,Furniture,Tables,13347.23,1,0.15,1708.78
ORD-202311-01489,2023-11-05,2023-11-08,First Class,CUST-1283,Pallavi Kapoor,Consumer,West,Maharashtra,PROD-0107,Oppo Find X7,Technology,Phones,151825.16,3,0.0,25711.43
ORD-202408-00036,2024-08-25,2024-09-01,Standard Class,CUST-1296,Priya Jain,Corporate,North,Uttar Pradesh,PROD-0108,Realme GT 5,Technology,Phones,50949.69,1,0.15,12527.55
ORD-202305-04095,2023-05-19,2023-05-23,Standard Class,CUST-1305,Akash Mishra,Corporate,East,Bihar,PROD-0157,Sticky Notes Combo,Office Supplies,Paper,1494.78,4,0.1,478.44
ORD-202411-05523,2024-11-23,2024-11-26,Standard Class,CUST-1386,Diya Kumar,Home Office,West,Gujarat,PROD-0146,Wardrobe 3-Door,Furniture,Storage,9983.96,2,0.2,-1950.03
ORD-202212-09097,2022-12-05,2022-12-10,Standard Class,CUST-1040,Pooja Mehra,Consumer,South,Tamil Nadu,PROD-0151,Carpet Persian Style,Furniture,Furnishings,25964.44,3,0.15,988.71
ORD-202210-04374,2022-10-21,2022-10-26,Second Class,CUST-1203,Aadhya Malhotra,Consumer,West,Madhya Pradesh,PROD-0118,iPad Pro,Technology,Tablets,155497.76,2,0.1,30098.74
ORD-202402-09894,2024-02-11,2024-02-11,Same Day,CUST-1163,Suresh Mishra,Corporate,North,Punjab,PROD-0105,Xiaomi 14,Technology,Phones,58638.43,1,0.0,13363.97
ORD-202109-05641,2021-09-09,2021-09-12,Standard Class,CUST-1414,Vihaan Khanna,Corporate,East,West Bengal,PROD-0144,Bookshelf 5-Tier,Furniture,Storage,37273.24,3,0.0,-418.44
ORD-202403-05810,2024-03-27,2024-04-01,Standard Class,CUST-1291,Rohan Mukherjee,Consumer,South,Tamil Nadu,PROD-0159,Legal Pad Pack,Office Supplies,Paper,4229.4,3,0.0,257.35
ORD-202103-07729,2021-03-08,2021-03-11,Standard Class,CUST-1112,Ritika Chopra,Consumer,West,Gujarat,PROD-0105,Xiaomi 14,Technology,Phones,165375.34,5,0.0,24691.6
ORD-202308-00108,2023-08-13,2023-08-19,Standard Class,CUST-1274,Rahul Sinha,Small Business,South,Tamil Nadu,PROD-0176,File Folder Pack,Office Supplies,Binders & Organizers,4907.34,3,0.15,694.62
ORD-202102-05154,2021-02-08,2021-02-11,Standard Class,CUST-1369,Shivam Iyer,Consumer,South,Telangana,PROD-0134,Executive Leather Chair,Furniture,Chairs,5912.87,2,0.2,-1337.26
ORD-202205-05269,2022-05-08,2022-05-13,Standard Class,CUST-1226,Tushar Pandey,Consumer,West,Madhya Pradesh,PROD-0136,Folding Chair Set,Furniture,Chairs,41890.83,2,0.0,3207.04
ORD-202307-04138,2023-07-11,2023-07-15,Second Class,CUST-1042,Tushar Chopra,Consumer,North,Rajasthan,PROD-0174,Ring Binder Set,Office Supplies,Binders & Organizers,2080.59,1,0.0,508.51
ORD-202307-04088,2023-07-27,2023-08-02,Standard Class,CUST-1031,Aanya Kumar,Corporate,West,Maharashtra,PROD-0105,Xiaomi 14,Technology,Phones,115246.49,2,0.15,32226.56
ORD-202401-02317,2024-01-18,2024-01-20,First Class,CUST-1388,Rajesh Sinha,Consumer,North,Uttar Pradesh,PROD-0118,iPad Pro,Technology,Tablets,50407.33,1,0.05,10055.9
ORD-202304-09020,2023-04-21,2023-04-28,Standard Class,CUST-1174,Amit Bhatia,Consumer,West,Goa,PROD-0138,Standing Desk,Furniture,Tables,75723.9,2,0.1,6093.67
ORD-202207-00765,2022-07-11,2022-07-13,First Class,CUST-1402,Sanjay Gupta,Small Business,West,Madhya Pradesh,PROD-0127,Logitech MX Master,Technology,Accessories,13004.64,2,0.0,3714.73
ORD-202411-03705,2024-11-27,2024-12-03,Standard Class,CUST-1388,Rajesh Sinha,Consumer,North,Uttar Pradesh,PROD-0114,Acer Predator Helios,Technology,Laptops,141695.3,1,0.0,44555.89
ORD-202103-09201,2021-03-18,2021-03-24,Standard Class,CUST-1293,Diya Gupta,Home Office,West,Gujarat,PROD-0136,Folding Chair Set,Furniture,Chairs,21839.67,1,0.1,-1270.64
ORD-202203-08348,2022-03-13,2022-03-20,Standard Class,CUST-1349,Tanvi Banerjee,Consumer,West,Maharashtra,PROD-0148,Kitchen Storage Rack,Furniture,Storage,5529.28,2,0.2,122.0
ORD-202106-00994,2021-06-28,2021-07-03,Standard Class,CUST-1486,Krishna Pandey,Small Business,East,Jharkhand,PROD-0150,Curtain Set Premium,Furniture,Furnishings,21065.79,4,0.05,-1091.9
ORD-202306-03961,2023-06-11,2023-06-15,Standard Class,CUST-1004,Manish Verma,Corporate,North,Delhi,PROD-0143,Conference Table,Furniture,Tables,97070.93,4,0.1,11945.21
ORD-202310-00252,2023-10-14,2023-10-18,Standard Class,CUST-1165,Rekha Malhotra,Consumer,South,Telangana,PROD-0139,L-Shaped Computer Desk,Furniture,Tables,23147.8,1,0.0,2687.14
ORD-202308-07633,2023-08-23,2023-08-25,Second Class,CUST-1174,Amit Bhatia,Consumer,West,Goa,PROD-0144,Bookshelf 5-Tier,Furniture,Storage,41754.3,2,0.15,4720.79
ORD-202206-03529,2022-06-20,2022-06-27,Standard Class,CUST-1090,Rekha Reddy,Consumer,East,Bihar,PROD-0132,Ergonomic Office Chair,Furniture,Chairs,21950.17,2,0.1,3421.14
ORD-202412-07232,2024-12-10,2024-12-14,Standard Class,CUST-1200,Shruti Iyer,Home Office,East,Odisha,PROD-0137,Recliner Chair,Furniture,Chairs,61774.11,3,0.15,859.08
ORD-202108-01374,2021-08-25,2021-08-29,Second Class,CUST-1436,Krishna Sinha,Corporate,East,West Bengal,PROD-0122,Xiaomi Pad 6,Technology,Tablets,97140.86,2,0.0,17852.19
ORD-202211-05817,2022-11-07,2022-11-12,Standard Class,CUST-1347,Pallavi Verma,Corporate,East,Jharkhand,PROD-0157,Sticky Notes Combo,Office Supplies,Paper,822.98,1,0.2,192.85
ORD-202209-03306,2022-09-25,2022-09-28,First Class,CUST-1307,Mohit Reddy,Corporate,East,Bihar,PROD-0102,Samsung Galaxy S24,Technology,Phones,90112.21,3,0.0,31207.75
ORD-202411-07764,2024-11-01,2024-11-03,First Class,CUST-1100,Mohit Mukherjee,Consumer,East,West Bengal,PROD-0101,iPhone 15,Technology,Phones,103097.78,2,0.2,-1253.63
ORD-202210-08526,2022-10-23,2022-10-26,Second Class,CUST-1196,Tanvi Nair,Consumer,North,Punjab,PROD-0174,Ring Binder Set,Office Supplies,Binders & Organizers,8111.96,2,0.0,480.36
ORD-202406-05506,2024-06-23,2024-06-24,First Class,CUST-1092,Rohan Menon,Corporate,South,Telangana,PROD-0110,Dell XPS 15,Technology,Laptops,90645.63,1,0.15,30648.87
ORD-202304-08135,2023-04-22,2023-04-29,Standard Class,CUST-1117,Vivaan Jain,Home Office,South,Telangana,PROD-0137,Recliner Chair,Furniture,Chairs,19271.63,1,0.0,2539.88
ORD-202105-03541,2021-05-21,2021-05-24,Standard Class,CUST-1387,Kavita Tiwari,Consumer,East,West Bengal,PROD-0151,Carpet Persian Style,Furniture,Furnishings,3314.17,1,0.3,162.86
ORD-202401-00488,2024-01-18,2024-01-19,First Class,CUST-1157,Sai Kumar,Corporate,South,Tamil Nadu,PROD-0138,Standing Desk,Furniture,Tables,69158.96,2,0.1,11830.6
ORD-202203-09943,2022-03-12,2022-03-15,First Class,CUST-1039,Shivam Patel,Corporate,North,Uttarakhand,PROD-0144,Bookshelf 5-Tier,Furniture,Storage,30676.7,5,0.15,-2630.91
ORD-202412-04685,2024-12-14,2024-12-18,Standard Class,CUST-1134,Pooja Menon,Consumer,South,Telangana,PROD-0157,Sticky Notes Combo,Office Supplies,Paper,3192.32,2,0.0,731.63
ORD-202211-09815,2022-11-19,2022-11-25,Standard Class,CUST-1323,Mohit Mehra,Corporate,West,Goa,PROD-0103,OnePlus 12,Technology,Phones,104340.09,4,0.15,12978.48
ORD-202410-03785,2024-10-21,2024-10-28,Standard Class,CUST-1471,Vikram Sinha,Consumer,North,Uttarakhand,PROD-0175,Desk Organizer Wood,Office Supplies,Binders & Organizers,8340.09,2,0.15,1663.79
ORD-202203-09469,2022-03-21,2022-03-26,Standard Class,CUST-1248,Anjali Mukherjee,Small Business,West,Maharashtra,PROD-0172,Projector Portable,Office Supplies,Office Equipment,28844.25,2,0.1,7587.73
ORD-202401-09285,2024-01-25,2024-01-25,Same Day,CUST-1226,Tushar Pandey,Consumer,West,Madhya Pradesh,PROD-0113,ASUS ROG Zephyrus,Technology,Laptops,34700.2,1,0.05,4490.65
ORD-202202-01150,2022-02-10,2022-02-13,Standard Class,CUST-1250,Reyansh Sinha,Home Office,South,Kerala,PROD-0168,HP LaserJet Printer,Office Supplies,Office Equipment,19448.24,2,0.05,4995.55
ORD-202402-00959,2024-02-02,2024-02-07,Standard Class,CUST-1204,Sneha Bhatia,Home Office,South,Telangana,PROD-0105,Xiaomi 14,Technology,Phones,59549.39,1,0.0,12321.37
ORD-202311-03740,2023-11-02,2023-11-06,Standard Class,CUST-1205,Lakshmi Joshi,Corporate,North,Delhi,PROD-0160,Graph Paper Pad,Office Supplies,Paper,1733.62,1,0.1,110.4
ORD-202103-08105,2021-03-11,2021-03-17,Standard Class,CUST-1381,Riya Reddy,Consumer,North,Punjab,PROD-0154,Table Lamp Designer,Furniture,Furnishings,10929.51,1,0.0,1463.87
ORD-202109-05712,2021-09-14,2021-09-20,Standard Class,CUST-1223,Arjun Dubey,Consumer,North,Haryana,PROD-0164,Whiteboard Marker Set,Office Supplies,Writing,89.4,1,0.05,12.1
ORD-202112-04044,2021-12-16,2021-12-21,Standard Class,CUST-1158,Suresh Kapoor,Home Office,South,Tamil Nadu,PROD-0108,Realme GT 5,Technology,Phones,43857.22,1,0.05,12897.49
ORD-202405-03285,2024-05-11,2024-05-14,First Class,CUST-1075,Ritika Khanna,Corporate,West,Goa,PROD-0138,Standing Desk,Furniture,Tables,85786.91,2,0.0,-6604.64
ORD-202212-02139,2022-12-26,2022-12-30,Standard Class,CUST-1499,Krishna Yadav,Small Business,North,Delhi,PROD-0115,MSI Creator Z16,Technology,Laptops,148795.67,2,0.15,19014.5
ORD-202202-08608,2022-02-18,2022-02-21,Standard Class,CUST-1285,Mohit Kapoor,Corporate,West,Maharashtra,PROD-0125,Sony WH-1000XM5,Technology,Accessories,12266.41,1,0.15,1428.14
ORD-202309-08749,2023-09-11,2023-09-12,First Class,CUST-1424,Arjun Menon,Consumer,North,Rajasthan,PROD-0125,Sony WH-1000XM5,Technology,Accessories,5953.76,1,0.1,1364.28
ORD-202111-02733,2021-11-16,2021-11-19,Second Class,CUST-1353,Nisha Pandey,Corporate,East,Jharkhand,PROD-0141,Coffee Table,Furniture,Tables,5199.87,1,0.05,809.34
ORD-202307-08090,2023-07-16,2023-07-20,Standard Class,CUST-1372,Pooja Chopra,Consumer,East,Odisha,PROD-0104,Google Pixel 8,Technology,Phones,137107.39,2,0.0,22473.05
ORD-202302-01632,2023-02-10,,Second Class,CUST-1183,Pooja Singh,Small Business,North,Punjab,PROD-0125,Sony WH-1000XM5,Technology,Accessories,9189.66,2,0.0,1833.65
ORD-202102-01796,2021-02-13,2021-02-18,Second Class,CUST-1205,Lakshmi Joshi,Corporate,North,Delhi,PROD-0131,Boat Airdopes 500,Technology,Accessories,13610.36,1,0.0,4399.66
ORD-202302-02349,2023-02-05,2023-02-09,Second Class,CUST-1094,Shruti Agarwal,Corporate,North,Uttarakhand,PROD-0159,Legal Pad Pack,Office Supplies,Paper,1762.74,3,0.15,197.59
ORD-202407-09136,2024-07-21,2024-07-26,Second Class,CUST-1079,Rahul Verma,Consumer,North,Rajasthan,PROD-0129,Anker PowerBank 20K,Technology,Accessories,2501.24,1,0.15,272.34
ORD-202102-08854,2021-02-28,2021-03-03,First Class,CUST-1316,Arjun Kumar,Corporate,South,Telangana,PROD-0108,Realme GT 5,Technology,Phones,65308.33,1,0.1,21517.26
ORD-202310-02128,2023-10-06,2023-10-09,Second Class,CUST-1205,Lakshmi Joshi,Corporate,North,Delhi,PROD-0165,Pencil Box Premium,Office Supplies,Writing,50.87,1,0.15,17.32
ORD-202211-03321,2022-11-18,2022-11-22,Second Class,CUST-1476,Swati Patel,Small Business,East,Odisha,PROD-0142,Study Table,Furniture,Tables,122019.41,4,0.1,11268.0
ORD-202307-00304,2023-07-10,2023-07-10,Same Day,CUST-1066,Aadhya Reddy,Corporate,South,Andhra Pradesh,PROD-0161,Envelope Pack 100,Office Supplies,Paper,2821.08,2,0.05,1077.87
ORD-202211-00040,2022-11-14,2022-11-21,Standard Class,CUST-1397,Tushar Chatterjee,Home Office,East,Bihar,PROD-0175,Desk Organizer Wood,Office Supplies,Binders & Organizers,8313.3,2,0.1,2955.26
ORD-202110-03932,2021-10-27,2021-10-31,Standard Class,CUST-1488,Akash Patel,Consumer,West,Madhya Pradesh,PROD-0170,Laminator Machine,Office Supplies,Office Equipment,2310.44,1,0.1,193.25
ORD-202408-01148,2024-08-01,2024-08-03,Second Class,CUST-1323,Mohit Mehra,Corporate,West,Goa,PROD-0128,Samsung T7 SSD,Technology,Accessories,8671.88,1,0.2,1689.9
ORD-202205-07727,2022-05-05,2022-05-07,Second Class,CUST-1236,Gaurav Khanna,Corporate,South,Telangana,PROD-0159,Legal Pad Pack,Office Supplies,Paper,1526.33,1,0.0,167.28
ORD-202408-08893,2024-08-16,2024-08-21,Second Class,CUST-1125,Tarun Mukherjee,Consumer,North,Rajasthan,PROD-0156,A4 Paper 500 Sheets,Office Supplies,Paper,7978.41,5,0.1,1354.69
ORD-202101-09321,2021-01-11,2021-01-15,Standard Class,CUST-1399,Diya Bhatia,Home Office,West,Madhya Pradesh,PROD-0124,AirPods Pro,Technology,Accessories,29134.99,4,0.0,5142.04
ORD-202105-09746,2021-05-02,2021-05-05,Second Class,CUST-1151,Komal Chopra,Small Business,West,Gujarat,PROD-0158,Spiral Notebook Set,Office Supplies,Paper,793.7,2,0.2,-46.73
ORD-202106-08006,2021-06-09,2021-06-13,Standard Class,CUST-1156,Riya Das,Consumer,East,Assam,PROD-0131,Boat Airdopes 500,Technology,Accessories,50407.45,5,0.0,17475.34
ORD-202312-07289,2023-12-19,2023-12-24,Standard Class,CUST-1161,Sara Mehra,Consumer,West,Madhya Pradesh,PROD-0127,Logitech MX Master,Technology,Accessories,33315.96,3,0.1,8802.17
ORD-202205-04148,2022-05-03,2022-05-08,Second Class,CUST-1429,Aditya Mukherjee,Consumer,East,Bihar,PROD-0110,Dell XPS 15,Technology,Laptops,201166.28,2,0.05,21060.25
ORD-202106-06919,2021-06-10,2021-06-17,Standard Class,CUST-1425,Tushar Tiwari,Consumer,North,Uttarakhand,PROD-0170,Laminator Machine,Office Supplies,Office Equipment,4126.36,1,0.05,564.64
ORD-202405-00591,2024-05-09,2024-05-14,Standard Class,CUST-1011,Suresh Singh,Consumer,East,Odisha,PROD-0145,Filing Cabinet,Furniture,Storage,9098.08,2,0.05,1457.61
ORD-202406-04523,2024-06-01,2024-06-04,Standard Class,CUST-1222,Swati Gupta,Corporate,West,Madhya Pradesh,PROD-0162,Parker Pen Set,Office Supplies,Writing,2675.21,1,0.05,707.87
ORD-202306-07376,2023-06-08,2023-06-14,Standard Class,CUST-1084,Nisha Verma,Consumer,North,Uttar Pradesh,PROD-0132,Ergonomic Office Chair,Furniture,Chairs,8441.02,1,0.1,279.73
ORD-202211-07663,2022-11-09,2022-11-11,Second Class,CUST-1273,Amit Tiwari,Home Office,West,Madhya Pradesh,PROD-0138,Standing Desk,Furniture,Tables,25759.21,1,0.2,-1746.45
ORD-202409-06979,2024-09-11,2024-09-16,Standard Class,CUST-1475,Riya Khanna,Corporate,North,Uttarakhand,PROD-0106,Vivo X100,Technology,Phones,26167.79,2,0.0,4996.46
ORD-202207-09045,2022-07-25,2022-07-29,Standard Class,CUST-1482,Ishaan Sinha,Corporate,West,Maharashtra,PROD-0139,L-Shaped Computer Desk,Furniture,Tables,17454.75,1,0.15,2701.2
ORD-202407-02070,2024-07-10,2024-07-15,Standard Class,CUST-1042,Tushar Chopra,Consumer,North,Rajasthan,PROD-0137,Recliner Chair,Furniture,Chairs,9502.09,1,0.1,-370.61
ORD-202204-04986,2022-04-05,2022-04-08,First Class,CUST-1090,Rekha Reddy,Consumer,East,Bihar,PROD-0179,Cable Management Kit,Office Supplies,Binders & Organizers,1340.22,1,0.0,182.55
ORD-202412-01958,2024-12-08,2024-12-11,Standard Class,CUST-1494,Tarun Gupta,Consumer,East,Odisha,PROD-0129,Anker PowerBank 20K,Technology,Accessories,13503.87,1,0.0,3929.41
ORD-202409-00260,2024-09-23,2024-09-26,Standard Class,CUST-1487,Rahul Agarwal,Consumer,East,Bihar,PROD-0111,HP Spectre x360,Technology,Laptops,47847.23,2,0.05,12647.27
